Scrip Code,Scrip Name,LTP,52 Weeks Low,Previous 52 Weeks Low,Previous 52 Weeks Low Date,All Time Low Price,All Time Low Date,Group
514326,PATSPINLTD,11.79,11.40,11.47,26 Jul 2018,3.25,23 Apr 2001,B
535658,PAWANSUT,1.62,1.62,1.65,26 Jul 2018,1.62,27 Jul 2018,X
531454,POLYLINK,15.75,14.35,14.80,29 Jun 2018,0.67,13 Sep 2004,XT
533178,PRADIP,0.90,0.90,0.92,26 Jul 2018,0.90,27 Jul 2018,T
540703,PROVESTSER,7.77,7.77,8.17,26 Jul 2018,7.77,27 Jul 2018,X
524037,RAMAPHO,66.60,66.00,66.75,23 Jul 2018,0.55,12 May 2003,X
532690,RAMSARUP,0.58,0.58,0.61,26 Jul 2018,0.58,27 Jul 2018,Z
532987,RBL,765.55,760.60,764.00,26 Jul 2018,34.20,06 Feb 2009,B
531825,RCCEMEN,13.35,13.35,14.05,25 Jul 2018,8.36,03 Jun 2015,XT
534734,RMCHEM,2.72,2.72,2.77,26 Jul 2018,2.20,27 Nov 2013,X
532731,ROHITFERRO,1.68,1.68,1.75,26 Jul 2018,1.68,27 Jul 2018,B
538557,SAIBABA,2.49,2.49,2.54,26 Jul 2018,2.49,27 Jul 2018,X
500370,SALORAINTL,25.70,23.75,24.95,26 Jul 2018,4.00,30 May 1997,B
521240,SAMBANDAM,92.05,89.10,89.50,05 Jul 2018,7.60,28 Apr 1999,X
511577,SAVFI,5.68,5.14,5.41,24 Jul 2018,0.65,27 Sep 2001,XT
532669,SBTL,1.30,1.24,1.25,26 Jul 2018,1.24,27 Jul 2018,XT
570005,SCAPDVR,2.34,2.34,2.46,26 Jul 2018,2.34,27 Jul 2018,B
506906,SCBL,12.52,12.17,12.25,25 Jul 2018,0.40,10 Jan 2001,X
532730,SGL,7.82,7.77,8.25,26 Jul 2018,1.11,27 Feb 2015,B
533389,SHILPI,3.20,2.90,3.05,26 Jul 2018,2.90,27 Jul 2018,T
503229,SIMPLXREA,84.05,76.20,76.40,12 Jul 2018,2.00,28 Feb 2001,X
539363,SKC,27.05,27.05,27.60,26 Jul 2018,26.75,19 Jan 2017,B
538562,SKIPPER,156.50,154.90,155.60,16 Jul 2018,32.00,13 Aug 2014,B
537954,SKP,1.92,1.92,1.95,26 Jul 2018,1.92,27 Jul 2018,T
538575,SOLISMAR,0.27,0.27,0.28,26 Jul 2018,0.27,27 Jul 2018,XT
513498,SOUTHMG,10.10,10.10,10.55,26 Jul 2018,1.20,20 Feb 1998,P
535141,SRDL,0.96,0.96,0.97,26 Jul 2018,0.96,27 Jul 2018,B
531307,SRK,1.11,1.11,1.13,26 Jul 2018,1.11,27 Jul 2018,X
531723,STAMPEDE,3.20,3.11,3.19,24 Jul 2018,2.42,26 Sep 2006,T
508969,SULABEN,1.54,1.54,1.57,26 Jul 2018,1.54,27 Jul 2018,X
514140,SURYVANSP,4.45,4.45,4.48,24 Apr 2018,1.35,26 Mar 2002,XT
517201,SWITCHTE,38.60,38.60,40.60,26 Jul 2018,4.00,31 Oct 2001,XT
533200,TALWALKARS,32.50,31.95,33.25,26 Jul 2018,31.95,27 Jul 2018,B
501421,TECHNVISN,48.60,47.55,48.50,26 Jul 2018,0.97,27 Feb 2007,XT
532948,TULSI,0.90,0.82,0.86,24 Jul 2018,0.82,27 Jul 2018,T
540083,TVVISION,4.38,3.98,4.08,26 Jul 2018,3.98,27 Jul 2018,B
541503,UNICK,27.10,26.65,27.95,26 Jul 2018,26.65,27 Jul 2018,XT
531963,UNICRSE,1.81,1.81,1.88,19 Jul 2018,1.05,25 Jun 1997,XT
526775,VALIANT,38.35,37.05,37.50,26 Jul 2018,1.50,23 Jul 1998,X
512229,VERITAS,138.35,138.35,141.15,25 Jul 2018,24.40,19 Mar 2013,XT
511726,VIPUL,45.10,44.70,45.00,26 Jul 2018,4.50,26 Mar 2014,B
526959,WOODSVILA,5.02,5.02,5.28,26 Jul 2018,2.80,24 Mar 2000,P
504220,WSIND,5.00,4.85,5.00,26 Jul 2018,1.25,30 Oct 2001,T
511012,YAMNINV,1.63,1.63,1.66,26 Jul 2018,1.63,27 Jul 2018,XT
540980,YSL,2244.55,2137.70,-,-,-,-,XT
532883,ZYLOG,1.13,1.04,1.08,05 Jul 2018,1.04,27 Jul 2018,T
